code,line_item,period_end,measure,value,asOf
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-12-31,month,0.00140675289923506,2022-02-08
2269,Expense/Average NAV (%),2021-12-31,month,0.0180738598851477,2022-02-08
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-12-31,month,1.88097783590604,2022-02-08
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-12-31,month,283353878300,2022-02-08
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-12-31,month,283353878300,2022-02-08
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-12-31,month,28335387.83,2022-02-08
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-12-31,month,-2570951200,2022-02-08
2277,Number of Fund Certificates subscribed during the period,2021-12-31,month,130507.59,2022-02-08
2278,Net subscription amount during the period (based on par value),2021-12-31,month,1305075900,2022-02-08
2279,Fund scale at the end of the period (based on par value),2021-12-31,month,280782927100,2022-02-08
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-12-31,month,280782927100,2022-02-08
2281,Total number of outstanding Fund Certificate at the end of the period,2021-12-31,month,28078292.71,2022-02-08
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-12-31,month,0.951513022744608,2022-02-08
2283,Top 10 investors' ownership ratio at the end of the period,2021-12-31,month,0.9828,2022-02-08
2284,Foreign investors' ownership ratio at the end of the period,2021-12-31,month,0.0002,2022-02-08
2285,Net asset value per Fund Certificate at the end of period,2021-12-31,month,9663.41,2022-02-08
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-12-31,month,0.00213662477938854,2022-02-08
22761,Change of Number of Fund Certificates during the period,2021-12-31,month,-257095.12,2022-02-08
22762,Change in capital amount during the period (based on par value),2021-12-31,month,-2570951200,2022-02-08
22781,Number of Fund Certificates redeemed during the period,2021-12-31,month,-387602.71,2022-02-08
22782,Net redemption amount during the period (based on par value),2021-12-31,month,-3876027100,2022-02-08
22841,Number of investors of the Fund at the end of the period,2021-12-31,month,319,2022-02-08
2265,Management fee paid to the fund management company/Average NAV (%),2022-01-31,month,0.0122311960801558,2022-03-01
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2022-01-31,month,0.00141868838000131,2022-03-01
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2022-01-31,month,0.000349583278761983,2022-03-01
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2022-01-31,month,0.000429848143607765,2022-03-01
2269,Expense/Average NAV (%),2022-01-31,month,0.0168663600028893,2022-03-01
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2022-01-31,month,0.450574546947681,2022-03-01
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2022-01-31,month,280782927100,2022-03-01
2274,Total value of outstanding Fund Certificate at the beginning of period,2022-01-31,month,280782927100,2022-03-01
2275,Total number of outstanding Fund Certificate at the beginning of period,2022-01-31,month,28078292.71,2022-03-01
2276,Change of Fund scale during the period (based on par value of fund certificate),2022-01-31,month,2162305400,2022-03-01
2277,Number of Fund Certificates subscribed during the period,2022-01-31,month,458494.51,2022-03-01
2278,Net subscription amount during the period (based on par value),2022-01-31,month,4584945100,2022-03-01
2279,Fund scale at the end of the period (based on par value),2022-01-31,month,282945232500,2022-03-01
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2022-01-31,month,282945232500,2022-03-01
2281,Total number of outstanding Fund Certificate at the end of the period,2022-01-31,month,28294523.25,2022-03-01
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2022-01-31,month,0.94432623493665,2022-03-01
