code,line_item,period_end,measure,value,asOf
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-07-31,ytd,250555871,2021-08-03
2227.1,Fund Administration Fee,2021-07-31,month,23508038,2021-09-06
2227.1,Fund Administration Fee,2021-07-31,ytd,173555871,2021-08-03
2227.2,Transfer Agency Fee,2021-07-31,month,11000000,2021-09-06
2227.2,Transfer Agency Fee,2021-07-31,ytd,77000000,2021-08-03
2228,Audit fee,2021-07-31,month,10885035,2021-09-06
2228,Audit fee,2021-07-31,ytd,67069419,2021-08-03
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-07-31,month,9764383,2021-09-06
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-07-31,ytd,110927397,2021-08-03
2229.1,Remuneration of Fund's Board of Representatives,2021-07-31,month,9764383,2021-09-06
2229.1,Remuneration of Fund's Board of Representatives,2021-07-31,ytd,68227397,2021-08-03
2229.2,Price feed fee,2021-07-31,month,0,2021-09-06
2229.2,Price feed fee,2021-07-31,ytd,42700000,2021-08-03
2229.3,Legal consultancy expenses,2021-07-31,month,0,2021-09-06
2229.3,Legal consultancy expenses,2021-07-31,ytd,0,2021-08-03
2230,"Fee for drafting, printing, distribution of prospectus, summarised prospectus, financial statements, transaction confirmations, account statements and other documents to investors; information disclosure fee; fee for organising annual general meeting, board of representatives meeting",2021-07-31,month,0,2021-09-06
2230,"Fee for drafting, printing, distribution of prospectus, summarised prospectus, financial statements, transaction confirmations, account statements and other documents to investors; information disclosure fee; fee for organising annual general meeting, board of representatives meeting",2021-07-31,ytd,4895660,2021-08-03
2230.1,Meeting expenses,2021-07-31,month,0,2021-09-06
2230.1,Meeting expenses,2021-07-31,ytd,4895660,2021-08-03
2230.2,Annual report expenses,2021-07-31,month,0,2021-09-06
2230.2,Annual report expenses,2021-07-31,ytd,0,2021-08-03
2230.3,"Fund's Board of Representatives meeting, travelling expenses",2021-07-31,month,0,2021-09-06
2230.3,"Fund's Board of Representatives meeting, travelling expenses",2021-07-31,ytd,0,2021-08-03
2230.4,Expenses of information disclosure of the Fund,2021-07-31,month,0,2021-09-06
2230.4,Expenses of information disclosure of the Fund,2021-07-31,ytd,0,2021-08-03
2230.5,"Designing, printing, posting... expenses",2021-07-31,month,0,2021-09-06
2230.5,"Designing, printing, posting... expenses",2021-07-31,ytd,0,2021-08-03
2231,Expenses related to execution of Fund’s asset transactions,2021-07-31,month,5000000,2021-09-06
2231,Expenses related to execution of Fund’s asset transactions,2021-07-31,ytd,125688115,2021-08-03
2231.1,Brokerage fee,2021-07-31,month,0,2021-09-06
2231.1,Brokerage fee,2021-07-31,ytd,94788115,2021-08-03
2231.2,Clearing settlement fee,2021-07-31,month,0,2021-09-06
2231.2,Clearing settlement fee,2021-07-31,ytd,900000,2021-08-03
2232,Other expenses,2021-07-31,month,2118050,2021-09-06
2232,Other expenses,2021-07-31,ytd,16306400,2021-08-03
2232.1,Set up Expenses,2021-07-31,month,0,2021-09-06
2232.1,Set up Expenses,2021-07-31,ytd,0,2021-08-03
2232.2,"Listing, registration fees",2021-07-31,month,0,2021-09-06
2232.2,"Listing, registration fees",2021-07-31,ytd,0,2021-08-03
2232.3,Annual management fee paid to SSC,2021-07-31,month,0,2021-09-06
2232.3,Annual management fee paid to SSC,2021-07-31,ytd,0,2021-08-03
2232.4,Bank charges,2021-07-31,month,2118050,2021-09-06
2232.4,Bank charges,2021-07-31,ytd,15206400,2021-08-03
2232.5,Borrowing expense,2021-07-31,month,0,2021-09-06
2232.5,Borrowing expense,2021-07-31,ytd,0,2021-08-03
2232.7,Fee paid to VSD for getting the list of investors,2021-07-31,month,0,2021-09-06
2232.7,Fee paid to VSD for getting the list of investors,2021-07-31,ytd,1100000,2021-08-03
2233,Net Income from Investment Activities (= I - II),2021-07-31,month,4750687657,2021-09-06
2233,Net Income from Investment Activities (= I - II),2021-07-31,ytd,34228195205,2021-08-03
2234,Gain / (Loss) from Investment Activities,2021-07-31,month,8860247,2021-09-06
2234,Gain / (Loss) from Investment Activities,2021-07-31,ytd,2279402431,2021-08-03
2235,Realised Gain / (Loss) from disposal of investment or real estate transfer,2021-07-31,month,-139753,2021-09-06
2235,Realised Gain / (Loss) from disposal of investment or real estate transfer,2021-07-31,ytd,3284388725,2021-08-03
2236,Unrealised Gain / (Loss) due to market price,2021-07-31,month,9000000,2021-09-06
2236,Unrealised Gain / (Loss) due to market price,2021-07-31,ytd,-1004986294,2021-08-03
2237,Change of Net Asset Value of the Fund due to investment activities during the period (= III + IV),2021-07-31,month,4759547904,2021-09-06
2237,Change of Net Asset Value of the Fund due to investment activities during the period (= III + IV),2021-07-31,ytd,36507597636,2021-08-03
2238,Net Asset Value at the beginning of period,2021-07-31,month,815644329563,2021-09-06
2238,Net Asset Value at the beginning of period,2021-07-31,ytd,905690985301,2021-08-03
2239.1,Change of Net Asset Value due to investment activities during the period,2021-07-31,month,4759547904,2021-09-06
2239.1,Change of Net Asset Value due to investment activities during the period,2021-07-31,ytd,36507597636,2021-08-03
2239.2,Change of Net Asset Value due to  dividends payment to investors during the period,2021-07-31,month,0,2021-09-06
2239.2,Change of Net Asset Value due to  dividends payment to investors during the period,2021-07-31,ytd,0,2021-08-03
2239.3,Change of Net Asset Value due to subscription/redemption during the period,2021-07-31,month,33744441226,2021-09-06
2239.3,Change of Net Asset Value due to subscription/redemption during the period,2021-07-31,ytd,-88050264244,2021-08-03
2239.3.1,Change of Net Asset Value due to subscription during the period,2021-07-31,month,69073937177,2021-09-06
2239.3.1,Change of Net Asset Value due to subscription during the period,2021-07-31,ytd,301025356509,2021-08-03
2239.3.2,Change of Net Asset Value due to redemption during the period,2021-07-31,month,-35329495951,2021-09-06
2239.3.2,Change of Net Asset Value due to redemption during the period,2021-07-31,ytd,-389075620753,2021-08-03
2243,Net Asset Value at the end of period,2021-07-31,month,854148318693,2021-09-06
2243,Net Asset Value at the end of period,2021-07-31,ytd,854148318693,2021-08-03
2244,Average annual profit (only applicable to annual report),2021-07-31,month,0,2021-09-06
2244,Average annual profit (only applicable to annual report),2021-07-31,ytd,0,2021-08-03
2245,Average annual rate of return (only applicable to annual report),2021-07-31,month,0,2021-09-06
2245,Average annual rate of return (only applicable to annual report),2021-07-31,ytd,0,2021-08-03
,Change of Net Asset Value of the Fund during the period,2021-08-31,month,26537339643,2021-10-04
,Change of Net Asset Value of the Fund during the period,2021-08-31,ytd,-25005326965,2021-09-06
,Other Expenses,2021-08-31,month,0,2021-10-04
,Other Expenses,2021-08-31,ytd,0,2021-09-06
,Other Expenses,2021-08-31,ytd,30000000,2021-09-06
,Other incomes,2021-08-31,month,0,2021-10-04
,Other incomes,2021-08-31,ytd,0,2021-09-06
2220,Income from Investment Activities,2021-08-31,month,5829915289,2021-10-04
2220,Income from Investment Activities,2021-08-31,ytd,46789401323,2021-09-06
2221,"Dividend income, interest income from bonds",2021-08-31,month,2960794747,2021-10-04
2221,"Dividend income, interest income from bonds",2021-08-31,ytd,23429130708,2021-09-06
2221.1,Dividends income,2021-08-31,month,0,2021-10-04
2221.1,Dividends income,2021-08-31,ytd,0,2021-09-06
2221.2,Interest income from bonds,2021-08-31,month,2960794747,2021-10-04
2221.2,Interest income from bonds,2021-08-31,ytd,23429130708,2021-09-06
2222,Interest income,2021-08-31,month,2869120542,2021-10-04
2222,Interest income,2021-08-31,ytd,23360270615,2021-09-06
2222.1,Interest income from bank deposits,2021-08-31,month,386699994,2021-10-04
2222.1,Interest income from bank deposits,2021-08-31,ytd,2863792534,2021-09-06
2222.2,Interest income from Certificates of Deposit,2021-08-31,month,2482420548,2021-10-04
2222.2,Interest income from Certificates of Deposit,2021-08-31,ytd,20496478081,2021-09-06
2222.3,Interest income from reverse repo contracts,2021-08-31,month,0,2021-10-04
2222.3,Interest income from reverse repo contracts,2021-08-31,ytd,0,2021-09-06
2223.1,Other investment incomes,2021-08-31,month,0,2021-10-04
2223.1,Other investment incomes,2021-08-31,ytd,0,2021-09-06
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-08-31,month,0,2021-10-04
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-08-31,ytd,0,2021-09-06
2224,Expenses,2021-08-31,month,1023080833,2021-10-04
2224,Expenses,2021-08-31,ytd,7754371662,2021-09-06
2225,Management Fee paid to Fund Management Company,2021-08-31,month,882445455,2021-10-04
2225,Management Fee paid to Fund Management Company,2021-08-31,ytd,6589348642,2021-09-06
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-08-31,month,62485183,2021-10-04
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-08-31,ytd,511429963,2021-09-06
2226.1,Custodian service - Safe Custody Fee,2021-08-31,month,29414849,2021-10-04
2226.1,Custodian service - Safe Custody Fee,2021-08-31,ytd,239785601,2021-09-06
2226.2,Custodian service - Transaction fee,2021-08-31,month,300000,2021-10-04
2226.2,Custodian service - Transaction fee,2021-08-31,ytd,3700000,2021-09-06
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-08-31,month,414000,2021-10-04
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-08-31,ytd,4180200,2021-09-06
2226.4,Supervisory fee,2021-08-31,month,32356334,2021-10-04
2226.4,Supervisory fee,2021-08-31,ytd,263764162,2021-09-06
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-08-31,month,35267250,2021-10-04
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-08-31,ytd,285823121,2021-09-06
2227.1,Fund Administration Fee,2021-08-31,month,24267250,2021-10-04
2227.1,Fund Administration Fee,2021-08-31,ytd,197823121,2021-09-06
2227.2,Transfer Agency Fee,2021-08-31,month,11000000,2021-10-04
2227.2,Transfer Agency Fee,2021-08-31,ytd,88000000,2021-09-06
2228,Audit fee,2021-08-31,month,10927111,2021-10-04
2228,Audit fee,2021-08-31,ytd,77996530,2021-09-06
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-08-31,month,9764384,2021-10-04
